id_lectura,sensor_id,ubicacion,fecha_hora,canal_transmision_id,ph,turbidez_ntu,temperatura_c,conductividad_us_cm,solidos_disueltos_totales_mg_l,oxigeno_disuelto_mg_l,plomo_mg_l,arsenico_mg_l,mercurio_mg_l,cadmio_mg_l,coliformes_fecales_nmp_100ml,escherichia_coli_nmp_100ml,presencia_parasitos,radiactividad_bq_l,caudal_l_s,indice_riesgo_normalizado
41,0166,Cabanillas (ciudad),2025-10-07T20:00:00.000Z,1,7.16,3.26,11.82,342.6,273.1,7.32,0.0124,0.0059,0.00115,0.0022,160.0,126.0,0,0.0903,42.7,0.0768
42,0105,Juliaca (urbano),2025-11-18T21:00:00.000Z,1,6.21,16.01,9.99,813.4,497.2,4.58,0.0324,0.0145,4.3E-4,0.0029,4628.0,1353.0,1,0.1568,51.4,0.1416
43,0292,Cabanillas (nacimiento de agua),2024-01-05T20:00:00.000Z,2,7.44,0.18,11.91,95.9,80.3,6.04,9.0E-4,0.001,1.6E-4,0.0,0.0,2.0,0,0.0494,5.3,0.0128
44,0176,Cabanillas (ciudad),2024-05-19T11:00:00.000Z,2,7.3,8.01,10.3,486.2,359.5,7.35,0.0078,0.0121,2.9E-4,1.0E-4,455.0,182.0,0,0.0974,38.3,0.0627
45,0012,Rio Coata,2024-07-27T20:00:00.000Z,1,5.42,4.06,13.49,801.7,746.8,3.44,0.0175,0.12,0.00644,0.0285,,700.0,1,0.8125,172.8,0.5332
46,0141,Juliaca (urbano),2025-01-28T20:00:00.000Z,1,6.51,15.93,9.66,721.0,599.1,7.14,0.0328,0.0156,3.0E-4,0.0,3786.0,739.0,1,0.0568,47.4,0.122
47,0251,Cabanillas (nacimiento de agua),2025-03-24T12:00:00.000Z,1,7.12,1.82,4.24,219.2,73.8,,5.0E-4,0.0,2.0E-5,0.0,0.0,3.0,0,0.0494,10.4,0.0095
48,0161,Cabanillas (ciudad),2025-06-02T05:00:00.000Z,1,6.75,6.97,9.62,425.9,232.1,6.48,0.0071,0.0,6.9E-4,0.0039,133.0,183.0,0,0.0257,35.3,0.0479
49,0162,Cabanillas (ciudad),2025-11-25T15:00:00.000Z,1,7.46,12.76,8.11,283.2,190.3,9.27,0.0086,0.0,0.00157,0.0025,51.0,158.0,0,0.0673,25.6,0.0755
50,0277,Cabanillas (nacimiento de agua),2025-05-20T12:00:00.000Z,1,7.45,0.0,5.42,132.1,113.0,8.32,0.0011,6.0E-4,1.0E-5,3.0E-4,7.0,0.0,0,0.0398,6.6,0.0091
51,0173,Cabanillas (ciudad),2025-08-29T14:00:00.000Z,2,7.38,7.73,10.13,221.3,320.6,6.84,0.0135,0.0035,0.00171,0.0,690.0,0.0,0,0.1427,43.0,0.0914
52,0065,Rio Coata,2025-01-25T11:00:00.000Z,1,6.12,67.22,11.6,1068.0,416.6,7.0,0.0,0.0598,0.01234,0.0185,0.0,406.0,0,1.2814,203.8,0.6121
53,0086,Juliaca (urbano),2025-04-04T09:00:00.000Z,1,6.56,20.19,10.13,725.4,424.9,5.85,0.0276,0.0042,0.00141,0.001,4259.0,1122.0,0,0.2382,33.5,0.1435
54,0158,Juliaca (urbano),2025-05-18T19:00:00.000Z,2,6.84,9.45,12.59,953.3,546.9,5.46,0.0059,0.0197,7.3E-4,4.0E-4,812.0,1143.0,0,0.1684,81.5,0.0908
55,0004,Rio Coata,2025-04-26T22:00:00.000Z,1,6.41,38.54,7.61,1045.9,658.5,,0.0499,0.0636,0.00296,0.0212,1085.0,184.0,1,0.7881,121.3,0.4557
56,0062,Rio Coata,2024-04-11T10:00:00.000Z,1,5.93,58.99,12.56,1032.6,594.1,2.48,0.0633,0.0989,0.00908,0.011,868.0,417.0,0,0.8528,109.0,0.6613
57,0194,Cabanillas (ciudad),2024-12-28T09:00:00.000Z,2,7.23,13.71,9.82,197.9,197.0,7.99,0.0077,0.0022,1.1E-4,0.0016,119.0,34.0,0,0.2174,38.6,0.0675
58,0241,Cabanillas (nacimiento de agua),2024-06-16T01:00:00.000Z,1,7.19,5.77,7.96,151.2,126.7,7.21,0.0,0.0012,6.9E-4,0.001,5.0,0.0,0,0.0537,18.8,0.0305
59,0032,Rio Coata,2024-06-13T13:00:00.000Z,2,5.47,78.95,6.24,740.0,682.8,4.74,0.0721,0.059,0.006,0.019,649.0,364.0,0,0.9334,123.8,0.6068
60,0218,Cabanillas (ciudad),2025-03-16T06:00:00.000Z,2,7.23,6.82,10.72,271.1,249.5,6.67,0.0,0.0077,0.0,0.0,247.0,211.0,0,0.1183,49.7,0.0352
61,0259,Cabanillas (nacimiento de agua),2025-09-13T04:00:00.000Z,1,7.33,0.35,8.89,170.5,104.4,8.73,3.0E-4,0.0,9.0E-5,9.0E-4,9.0,4.0,0,0.0387,24.2,0.0098
62,0094,Juliaca (urbano),2025-07-05T05:00:00.000Z,2,7.19,30.9,9.64,477.7,333.4,3.48,0.0172,0.0099,0.00186,0.002,3437.0,1041.0,0,0.2535,48.6,0.1569
63,0154,Juliaca (urbano),2025-02-07T09:00:00.000Z,2,7.06,38.11,9.35,626.7,475.7,6.11,0.0057,0.0208,9.4E-4,0.0068,2665.0,1079.0,0,0.1489,67.8,0.1416
64,0020,Rio Coata,2025-03-13T21:00:00.000Z,1,6.13,35.91,4.09,765.4,467.1,4.86,0.0742,0.075,0.00375,0.0371,754.0,546.0,0,1.2732,172.3,0.6356
65,0036,Rio Coata,2024-07-31T08:00:00.000Z,2,5.96,43.08,12.07,984.2,414.8,4.52,0.0896,0.0,0.00644,4.0E-4,,410.0,0,1.2135,214.3,0.5006
66,0104,Juliaca (urbano),2025-03-01T12:00:00.000Z,2,6.27,14.98,6.9,936.0,613.1,6.69,0.0324,0.015,0.0011,0.0,1729.0,1327.0,1,0.1778,71.3,0.1494
67,0012,Rio Coata,2025-01-08T20:00:00.000Z,1,6.57,23.81,8.18,1306.0,731.3,5.24,0.0388,0.0189,0.00554,0.0259,2027.0,25.0,0,0.8421,233.9,0.4095
68,0003,Rio Coata,2025-06-23T23:00:00.000Z,1,6.33,23.63,11.29,1095.5,619.6,4.97,0.1121,0.1301,0.00637,0.0,1318.0,237.0,0,0.7378,192.3,0.6791
69,0259,Cabanillas (nacimiento de agua),2024-10-28T12:00:00.000Z,1,7.86,0.0,11.69,42.6,100.0,9.0,0.0022,9.0E-4,3.0E-4,6.0E-4,9.0,2.0,0,0.0519,9.6,0.0197
70,0178,Cabanillas (ciudad),2025-08-07T15:00:00.000Z,1,6.29,17.8,11.34,276.7,110.6,9.46,0.0192,0.001,0.00112,0.0014,493.0,335.0,0,0.1763,28.2,0.1063
71,0056,Rio Coata,2025-03-18T05:00:00.000Z,2,5.94,56.92,15.28,971.8,763.3,4.24,0.0949,0.1631,0.0054,0.0188,628.0,207.0,0,0.7338,144.7,0.7647
72,0016,Rio Coata,2025-06-06T06:00:00.000Z,1,6.44,44.16,9.54,1317.4,571.4,7.62,0.0293,0.0985,0.00203,0.0098,1459.0,687.0,1,0.7966,157.3,0.4339
73,0214,Cabanillas (ciudad),2025-09-08T20:00:00.000Z,1,6.93,14.47,7.53,427.2,241.7,5.82,0.0159,0.0055,0.0,0.004,241.0,191.0,0,0.132,41.9,0.0836
74,0276,Cabanillas (nacimiento de agua),2024-12-07T09:00:00.000Z,1,7.36,0.65,6.81,172.6,91.3,8.64,7.0E-4,0.0021,4.5E-4,0.001,0.0,1.0,0,0.0717,35.6,0.0254
75,0092,Juliaca (urbano),2024-08-25T07:00:00.000Z,1,6.74,36.75,11.74,689.1,315.9,4.72,0.018,0.0147,0.00117,0.0071,3486.0,1157.0,0,0.1598,63.7,0.1611
76,0181,Cabanillas (ciudad),2024-04-14T22:00:00.000Z,2,7.42,7.73,11.46,270.9,283.8,5.88,0.0203,0.0,9.1E-4,0.0021,302.0,18.0,0,0.211,64.7,0.0979
77,0275,Cabanillas (nacimiento de agua),2025-03-06T18:00:00.000Z,2,7.31,2.0,11.7,147.9,98.6,8.81,6.0E-4,0.0015,4.7E-4,0.001,0.0,0.0,0,0.0404,20.6,0.0223
78,0020,Rio Coata,2025-09-16T18:00:00.000Z,1,5.96,29.45,7.88,1179.0,629.7,6.6,0.0,0.1161,0.00395,0.0282,848.0,347.0,0,1.1537,218.9,0.5149
79,0266,Cabanillas (nacimiento de agua),2024-05-04T23:00:00.000Z,1,7.15,3.18,5.48,135.4,92.3,8.96,0.0025,4.0E-4,1.0E-5,0.0,5.0,0.0,0,0.0287,6.9,0.0129
80,0095,Juliaca (urbano),2025-08-07T18:00:00.000Z,2,6.83,13.48,11.08,838.4,384.0,5.94,0.041,0.0085,9.3E-4,5.0E-4,2421.0,1474.0,0,0.1368,74.9,0.147
81,0121,Juliaca (urbano),2024-12-22T21:00:00.000Z,2,6.79,65.22,9.05,562.9,386.0,7.06,0.0151,0.0391,0.00127,0.0046,2684.0,2237.0,0,0.172,46.4,0.2246
82,0192,Cabanillas (ciudad),2025-03-02T07:00:00.000Z,2,7.01,13.95,10.06,288.8,228.2,6.38,0.0173,0.0082,7.0E-4,0.002,450.0,114.0,0,0.0749,29.2,0.0915
83,0075,Rio Coata,2025-02-19T19:00:00.000Z,1,7.32,70.83,13.14,916.5,682.4,5.6,0.0357,0.0594,0.0068,0.0131,541.0,199.0,0,0.4489,249.5,0.4657
84,0007,Rio Coata,2025-05-19T07:00:00.000Z,1,6.33,33.81,13.81,826.3,581.6,6.75,0.0697,0.0706,0.00419,0.0167,1133.0,635.0,0,0.4212,174.2,0.4675
85,0089,Juliaca (urbano),2024-06-16T11:00:00.000Z,1,6.3,33.89,6.51,754.5,288.8,5.44,0.0177,0.0077,0.00105,0.0,918.0,457.0,0,0.3117,22.5,0.1445
86,0165,Cabanillas (ciudad),2024-05-28T00:00:00.000Z,1,6.77,9.12,12.94,366.1,268.8,,0.0143,0.0076,0.0,7.0E-4,334.0,162.0,0,0.1531,35.7,0.0722
87,0060,Rio Coata,2024-02-01T13:00:00.000Z,1,5.6,23.25,19.89,861.3,915.3,4.33,0.0894,0.0823,0.0,0.0105,229.0,560.0,0,0.7713,56.1,0.4646
88,0175,Cabanillas (ciudad),2024-07-02T23:00:00.000Z,2,7.24,13.77,11.6,492.3,219.5,5.95,0.0081,0.0051,4.1E-4,0.0015,725.0,351.0,0,0.0595,46.5,0.0588
89,0200,Cabanillas (ciudad),2025-06-05T22:00:00.000Z,2,7.71,15.23,9.72,226.3,125.0,7.84,0.0091,0.0153,5.3E-4,0.0022,387.0,530.0,0,0.0029,53.4,0.0762
90,0127,Juliaca (urbano),2025-11-04T01:00:00.000Z,1,6.95,15.9,7.47,746.9,420.1,6.19,0.0344,0.0204,3.1E-4,0.0,0.0,1051.0,0,0.1528,56.6,0.1454
91,0193,Cabanillas (ciudad),2024-01-13T08:00:00.000Z,1,6.95,7.46,2.23,373.5,265.2,8.12,0.0032,0.0087,0.0,0.0032,116.0,80.0,0,0.1932,0.0,0.0614
92,0294,Cabanillas (nacimiento de agua),2025-12-21T06:00:00.000Z,2,7.44,0.0,9.39,155.4,84.9,7.04,0.001,0.0,2.9E-4,2.0E-4,17.0,7.0,0,0.0625,19.6,0.0157
93,0101,Juliaca (urbano),2025-02-25T14:00:00.000Z,1,7.12,29.59,8.93,897.5,578.1,4.73,0.0129,0.0023,8.7E-4,0.0076,4327.0,1525.0,1,0.2175,50.3,0.1251
94,0230,Cabanillas (ciudad),2025-04-10T00:00:00.000Z,1,6.97,5.27,7.01,421.8,175.0,8.72,0.0059,0.0091,6.4E-4,0.0027,466.0,160.0,0,0.0687,39.5,0.0601
95,0122,Juliaca (urbano),2025-04-08T23:00:00.000Z,1,7.66,40.29,9.82,694.3,602.3,5.13,0.0238,0.0,0.00156,7.0E-4,2060.0,1259.0,0,0.1048,29.4,0.1365
96,0256,Cabanillas (nacimiento de agua),2025-05-10T10:00:00.000Z,1,7.12,2.02,10.04,169.7,127.3,7.83,0.002,0.0029,2.5E-4,9.0E-4,5.0,8.0,0,0.0554,14.4,0.0249
97,0119,Juliaca (urbano),2024-12-31T05:00:00.000Z,1,7.7,29.39,8.79,632.9,537.3,6.3,0.0464,0.0,0.00262,0.0015,4122.0,1383.0,1,0.1592,55.1,0.1982
98,0266,Cabanillas (nacimiento de agua),2024-11-23T00:00:00.000Z,2,7.29,2.86,7.86,151.0,91.3,8.76,0.0012,0.0015,3.2E-4,1.0E-4,10.0,0.0,0,0.0204,26.7,0.017
99,0034,Rio Coata,2024-06-16T07:00:00.000Z,1,5.67,42.05,15.73,1164.7,624.7,6.25,0.0455,0.0,0.00374,0.0114,791.0,572.0,0,0.4613,182.4,0.2941
100,0100,Juliaca (urbano),2024-06-30T04:00:00.000Z,2,7.17,35.81,8.57,506.1,589.2,4.69,0.0,0.006,7.4E-4,0.0,2764.0,1205.0,0,0.0548,38.8,0.0704
